idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1621000E708000,1000,383.5,172.2,59,63.9,10,108.2,27.1,8279657.9,14402,41,131.2,8,27,53,78,6.2,0,8,7,14,23.4,20.9,37.8,86,62.1,89.2,35.1,0
CRS5490RES1000mN1621000E709000,1000,328,153.1,10.8,52.1,7.8,121.7,23.7,9559485.4,14672,53.1,100,2,8.8,94.3,33.9,14.1,0,8.9,2,16,29.1,11,28,62.9,62.1,90.2,17.8,0
CRS5490RES1000mN1621000E710000,1000,372.5,165,28.1,52.9,10.1,117.9,19.2,10276152.2,16418,42,123,1,18,53,83.9,9.1,0,15,8,14.8,31.4,14.2,48.1,65,55.1,87.8,33.1,0
CRS5490RES1000mN1621000E711000,1000,370.5,174.1,52.3,69.2,13,101,33.1,8428718.9,15147,67,107.1,0,22.2,34,107.2,10.7,0,15,3,18.7,34.6,17.9,37.1,85.1,65.2,75,17.9,1
CRS5490RES1000mN1621000E712000,1000,279,113,31.1,31.1,9.1,91.9,18.2,6990305.1,11139.8,26.9,86.1,0,4.1,39.9,66.9,2.1,0,15.8,10.1,13.1,20,13.9,41.1,48.9,45.2,55.8,15.1,0
CRS5490RES1000mN1621000E713000,1000,505.5,225.9,62.8,86.8,13.8,166.1,23.9,12148028.4,21371.3,45.1,180.8,3.8,17.8,60.9,128.1,15.3,0,10.9,13.5,21.9,40.8,31.1,61.1,101.2,76.3,120.8,27.9,0
CRS5490RES1000mN1621000E716000,1000,263.5,113.1,12,33.8,3,76.1,17.2,7727129.4,11866.9,29,84.1,0,2.2,9.9,93,8,0,9.8,5,16.8,27.8,21.1,31,72,35,33.9,11.1,0
CRS5490RES1000mN1621000E717000,1000,1062,522,151,228,26.9,184,135.1,20824689.8,40067,291.9,230.1,3,39.1,47.9,411,21,191,37.9,30.9,67.1,103.8,47.1,164.1,228.1,169.1,168,45.9,0
CRS5490RES1000mN1621000E718000,1000,286,116,22.1,36,9.8,75,25.1,6943778.7,10827.9,17,99,0,16.2,21.1,63,15.7,0,4.9,7.1,13.9,25.7,14.3,37.9,67.2,54,45,16,0
CRS5490RES1000mN1621000E719000,1000,355.5,155.9,47.1,56.9,11.1,100.9,27.2,7009911.8,13759.1,38.1,117.8,9,30,24,75,17.9,0,15.7,7.1,19,34,18.5,43.8,61.8,64.4,67.1,24.1,0
CRS5490RES1000mN1621000E720000,1000,378,177.3,78.9,74,12,119,29.9,6571458.3,13635,25.2,152.1,15,38.1,25.1,70,29.1,0,4.8,4.9,13.9,26.1,13,40.1,97.9,90.1,56.2,31,0
CRS5490RES1000mN1621000E721000,1000,361,180,79.7,79,8,106,44.9,6248362.6,13639.3,36.9,143.1,3,18.9,39.1,70,49,0,7.7,5.6,11.2,25.2,17.7,47.3,87.1,85.9,51.9,20,1.4
CRS5490RES1000mN1621000E726000,1000,87,41.9,8.1,22.1,4,28.9,3.1,2301868.7,3943,7.8,34.1,0,4,6,29.9,2,0,4.9,3.1,5.1,6.1,0,11.8,17.9,22,11.1,5,0
CRS5490RES1000mN1621000E727000,1000,96,39,15,10,3.8,30,4,2073839.3,4102,2.8,36.2,2,5,11.9,19.2,0.9,0,0.9,0.9,5,6,2.9,12,22.1,16.9,22.3,7,0
CRS5490RES1000mN1622000E708000,1000,330,146.1,47,56.9,13.1,83.9,16.9,6019666.1,11706.9,31.1,115,2.1,29.1,15,59.9,40,0,10.1,3,17,23.1,13,44,72.8,65.9,55,26.1,0
CRS5490RES1000mN1622000E709000,1000,292.5,136,37.1,47,6.9,90.8,21.2,5976586.6,11714.1,25.2,110.8,3,25.9,23,59.9,24.2,0,4,5,6,18.6,14.8,32,60.1,69.3,52.9,29.8,0
CRS5490RES1000mN1622000E710000,1000,470,220.3,66,87,12,140.2,36.1,9092917.7,18216.9,54,166.3,6.1,38.9,40.2,124.1,11,0,7,14.1,18.8,38.5,30.9,55.8,104.2,79.9,87.8,31,2
